month,latitude,longitude,tg
1,50.875,8.875,3.632248
2,50.875,8.875,-2.9555492
3,50.875,8.875,-1.7355824
4,50.875,8.875,4.180341
5,50.875,8.875,3.0198545
6,50.875,8.875,2.0102043
7,50.875,8.875,2.7236023
8,50.875,8.875,2.4330788
9,50.875,8.875,0.95003986
10,50.875,8.875,0.99575996
11,50.875,8.875,0.7577019
12,50.875,8.875,2.6037314
